number,respondent_role,we_organise_and_host_carpentries_workshops,we_contribute_as_instructors_helpers_to_workshops,we_manage_an_institutional_carpentries_membership,we_coordinate_a_local_carpentries_community,we_are_not_involved_yet_but_would_like_to_learn_more,we_are_not_involved_as_a_library_but_i_am_personally,other_10,teaching_and_learning,collections_management_and_acquisitions,scholarly_communication_publishing_services_open_access,digital_library_management,information_and_data_analytics,research_data_management,research_and_development_digital_projects,metadata_and_data_conversion_cataloging,reference_and_user_services,library_it_digital_library_services,other_21,library_carpentry,data_carpentry,software_carpentry,no_but_i_plan_to_do_so,no,other_27,last_workshop_attended,git,introduction_to_data_for_archivists,open_refine,python,r,regular_expressions,spreadsheets_tidy_data,sql,unix_shell,web_scraping,i_do_not_remember,other_40,in_a_new_work_area_or_project,my_own_work_area_s,i_have_suggested_tools_to_others_and_explained_how_they_work,other_44,application_frequency,reorganising_and_cleaning_spreadsheets,using_version_control,transforming_workflows_into_scripts,scraping_or_mining_web_content,improving_data_management_and_project_organisation,using_programming_languages_r_python,reusing_code,creating_processable_reports_e_g_r_markdown_jupyter_notebook,what_other_behaviours_routines_have_you_adopted_as_a_result_of_completing_a_carpentries_workshop,stronger_confidence_in_learning_new_technical_skills,encouraging_skills_development_of_staff,decision_making_on_technical_solutions_in_libraries,recruitment_of_technical_and_or_analytical_staff,improved_relationships_with_academic_or_technical_partners,rethinking_current_approaches_for_data_processing_and_management_in_my_unit_department,other_61,used_carpentry_self_guided_material,used_non_carpentry_self_guided_material,contributed_as_an_instructor_helper_to_a_carpentry_workshop,participated_in_a_short_course_or_workshop_up_to_4_days,participated_in_a_semester_long_course,other_67,i_have_joined_the_carpentries_community_as_an_instructor,i_recommended_the_workshops_to_other_colleagues_and_friends,i_have_promoted_membership_to_the_head_of_my_institution,i_have_organised_workshops_or_sessions,i_contributed_to_carpentries_workshops_as_a_helper,other_73,what_other_topics_should_the_library_carpentry_curriculum_include,do_you_have_any_other_suggestions_on_how_library_carpentry_could_support_you_in_your_work,we_would_like_to_quote_you_please_share_a_short_statement_on_how_you_personally_benefitted_from_your_workshop_participation_or_further_engagement_with_the_carpentries,how_would_you_classify_your_institution_organisation,other_78,size_of_your_overall_institution_in_terms_of_staff_academic_and_administrative,other_80,size_of_your_overall_institution_in_terms_of_fte_enrolled_students,size_of_the_library_in_terms_of_fte_staff,is_there_anything_else_you_would_like_to_share,start_date_utc,submit_date_utc,network_id
72dak1d93y2ir72d03o42d053t1umtw7,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0-6 months ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,My own work area(s),NA,NA,Monthly,0,0,0,0,0,0,0,0,"Techniques from instructor training, such as making sure everyone in the room understands before we move on, avoiding dismissive language, creating a positive, safe space for people to feel comfortable in.",NA,NA,NA,NA,NA,NA,NA,Used Carpentry self-guided material,NA,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,"Examples of what Library Carpentry skills are, and practical examples of how you might use these skills in your work routines.",NA,NA,University,NA,at least 2000 but fewer than 5000,NA,at least 20000,at least 100 but fewer than 250,NA,2021-08-25T00:20:59Z,2021-08-25,8a4bd9f14d
k0iaukqqgo8gurosunbhk0ievkopu4w0,As an individual,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,NA,We coordinate a local Carpentries community.,NA,NA,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,Information and data analytics,NA,NA,NA,NA,NA,NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,Introduction to Data for Archivists,OpenRefine,NA,R,NA,Spreadsheets/tidy data,SQL,NA,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Daily,6,3,4,5,6,5,2,3,"Information governance and extending the domain specificity (away from 'library') towards collections management (records, museums and archives).",Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,NA,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,NA,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,NA,I have promoted membership to the head of my institution,I have organised workshops or sessions,NA,NA,Archivists' Toolkit /  Society American Archivists,Adopt consistent global standards (ISO) and collect and publish data on course adoption and use (in the US and elsewhere),"Involvement corresponds with DDAT (digital, data and technology) skills competency \ Awareness. You know about the skill and have an appreciation of how it is applied in the environment.
Working. You can apply your knowledge and experience of the skill, including tools and techniques. You can adopt those most appropriate for the environment.
Practitioner. You know how to share your knowledge and experience of this skill with others, including tools and techniques. You can define those most appropriate for the environment.
Expert. You have both knowledge and experience in the application of this skill. You are a recognised specialist and adviser in this skill including user needs, generation of ideas, methods and tools. You can lead or guide others in best-practice use.",University,NA,at least 2000 but fewer than 5000,NA,at least 1000 but fewer than 5000,at least 10 but fewer than 50,NA,2021-08-11T19:29:15Z,2021-08-11,d7fa62945f
niofpk38fmz9yt6sy0heniofpt8ic21t,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,NA,NA,NA,Library Carpentry,Data Carpentry,Software Carpentry,NA,NA,NA,0-6 months ago,Git,NA,OpenRefine,NA,NA,Regular Expressions,Spreadsheets/tidy data,NA,NA,NA,NA,NA,NA,My own work area(s),I have suggested tools to others and explained how they work,NA,Monthly,6,6,4,1,6,2,1,2,NA,NA,NA,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,NA,NA,NA,I have joined The Carpentries community as an instructor,NA,NA,NA,I contributed to Carpentries workshops as a helper,NA,NA,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 10000 but fewer than 20000,at least 100 but fewer than 250,NA,2021-08-09T17:01:12Z,2021-08-09,e9861df02c
sw0nvw9w7eyavyx9sw0n3cjta40z9cfn,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,Teaching and Learning,NA,"Scholarly communication, publishing services, open access",NA,NA,NA,NA,NA,Reference and user services,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,7-12 months ago,NA,NA,OpenRefine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I have suggested tools to others and explained how they work,NA,Less than once a year,3,3,2,3,3,0,3,0,NA,NA,Encouraging skills development of staff,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PowerBI
SPARQL",NA,NA,Special library,NA,at least 10000,NA,at least 1000 but fewer than 5000,less than 10,NA,2021-07-29T07:10:45Z,2021-07-29,59a9ff2097
fd9n6zgdviyofwv18fd9n6zzm47gefmi,As an individual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Digital library management,NA,NA,NA,"Metadata and data conversion, cataloging",NA,"Library IT, digital library services",NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This survey is not very good for people who have never heard of The Carpentries, I am intersted in finding out more.",Public library,NA,Fewer than 200,NA,Not applicable,at least 10 but fewer than 50,NA,2021-07-28T03:39:03Z,2021-07-28,1ff6d058cd
lcs68nivdu571ofw9siulcs68n2y4px1,As an individual,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,Collections management and acquisitions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Less than once a year,0,0,0,0,0,0,0,0,"NA - flaw in your survey i haven't attended any so these questions are irrelevant.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsure,unsure,unsure,NA,NA,at least 10000,NA,at least 20000,at least 250 but fewer than 500,NA,2021-07-28T03:32:53Z,2021-07-28,3e60a8f8d7
fuqbe1rscxbwcufuqb57ehu65fk6qjox,NA,NA,NA,NA,NA,"We are not involved yet, but would like to learn more.",NA,NA,NA,NA,NA,NA,Information and data analytics,NA,NA,"Metadata and data conversion, cataloging",NA,"Library IT, digital library services",NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at least 2000 but fewer than 5000,NA,at least 10000 but fewer than 20000,at least 50 but fewer than 100,NA,2021-07-28T02:25:04Z,2021-07-28,6ac7c1a248
h70zgup3lknbayesqheh70zgupjoh8ep,As an individual,NA,NA,NA,NA,NA,NA,NA,Teaching and Learning,NA,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,NA,NA,NA,NA,No,NA,Have not attended a Carpentries Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-28T00:32:44Z,2021-07-28,dbcc47fadf
vz41w7ywuvil4rfjovz41w7y12mzm9ri,NA,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,NA,NA,NA,"Metadata and data conversion, cataloging",NA,NA,NA,Library Carpentry,NA,NA,NA,NA,NA,More than 1 year ago,NA,NA,OpenRefine,NA,NA,NA,NA,NA,NA,NA,NA,NA,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,NA,Several times per year,3,0,0,0,2,0,0,0,Using OpenRefine to tidy data,NA,NA,Decision-making on technical solutions in libraries,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,NA,NA,NA,NA,I recommended the workshops to other colleagues and friends,NA,NA,NA,NA,MarcEdit PLEASE omg it has such a steep and impenetrable learning curve. Turning workflows into scripts I saw mentioned earlier in this survey but promoting that to (meta)data librarians would be a big winner,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 1000 but fewer than 5000,at least 100 but fewer than 250,NA,2021-07-27T07:45:04Z,2021-07-27,65f779cb47
pkjhacckbafazpkjhqwjtmml3lgaoaax,As an individual,NA,NA,NA,NA,NA,We are not involved as a library but I am personally.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Library IT, digital library services",NA,Library Carpentry,Data Carpentry,NA,NA,NA,NA,7-12 months ago,NA,NA,NA,Python,NA,NA,NA,NA,Unix Shell,NA,NA,NA,In a new work area or project,NA,NA,NA,Several times per year,4,0,0,0,2,4,2,1,Develop new training and improve existing training,Stronger confidence in learning new technical skills,Encouraging skills development of staff,NA,NA,NA,Rethinking current approaches for data processing and management in my unit/department,NA,Used Carpentry self-guided material,Used non-Carpentry self-guided material,NA,Participated in a short course or workshop (up to 4 days),NA,NA,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,NA,I have organised workshops or sessions,NA,NA,NA,NA,NA,University,NA,at least 500 but fewer than 2000,NA,at least 20000,at least 100 but fewer than 250,NA,2021-07-26T15:18:06Z,2021-07-26,fe6bdeff34
