#,In which role are you responding to this survey?,Other,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,We manage an institutional Carpentries membership.,We coordinate a local Carpentries community.,"We are not involved yet, but would like to learn more.",We are not involved as a library but I am personally.,Other,Teaching and Learning,Collections management and acquisitions,"Scholarly communication, publishing services, open access",Digital library management,Information and data analytics,Research data management,"Research and development, digital projects","Metadata and data conversion, cataloging",Reference and user services,"Library IT, digital library services",Other,Library Carpentry,Data Carpentry,Software Carpentry,"No, but I plan to do so",No,Other,When did you last attend a Carpentries Workshop?,Git,Introduction to Data for Archivists,OpenRefine,Python,R,Regular Expressions,Spreadsheets/tidy data,SQL,Unix Shell,Web Scraping,I do not remember,Other,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,Other,How often do you now apply the skills and techniques which you have gained?,"In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reorganising and Cleaning Spreadsheets","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Version Control","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Transforming Workflows into Scripts","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Scraping or Mining Web Content","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Improving Data Management and Project Organisation","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Using Programming Languages (R, Python)","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Reusing code","In this series of 8 questions, you will be asked to rate which of the following behaviours/routines you have adopted as a result of completing a Carpentries workshop. Please select the option most consistent with your practices.

Creating processable reports (e.g., R Markdown, Jupyter notebook)",What other behaviours/routines have you adopted as a result of completing a Carpentries workshop?,Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,Recruitment of technical and/or analytical staff,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,Other,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,Participated in a short course or workshop (up to 4 days),Participated in a semester-long course,Other,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,I have promoted membership to the head of my institution,I have organised workshops or sessions,I contributed to Carpentries workshops as a helper,Other,What other topics should the Library Carpentry curriculum include?,Do you have any other suggestions on how Library Carpentry could support you in your work?,We would like to quote you. Please share a short statement on how you personally benefitted from your workshop participation or further engagement with The Carpentries.,How would you classify your institution/organisation?,Other,What is the size of your overall institution in terms of staff (academic and administrative)?,Other,What is the size of your overall institution in terms of full-time equivalent (FTE) enrolled students?,What is the size of the library in terms of FTE staff?,Is there anything else you would like to share?,Start Date (UTC),Submit Date (UTC),Network ID
72dak1d93y2ir72d03o42d053t1umtw7,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,,"Scholarly communication, publishing services, open access",,,,,,,,,,,,,,,0-6 months ago,,,,,,,,,,,,,,My own work area(s),,,Monthly,0,0,0,0,0,0,0,0,"Techniques from instructor training, such as making sure everyone in the room understands before we move on, avoiding dismissive language, creating a positive, safe space for people to feel comfortable in.",,,,,,,,Used Carpentry self-guided material,,,,,,,I recommended the workshops to other colleagues and friends,,,,,"Examples of what Library Carpentry skills are, and practical examples of how you might use these skills in your work routines.",,,University,,at least 2000 but fewer than 5000,,at least 20000,at least 100 but fewer than 250,,2021-08-25 00:20:59,2021-08-25 01:11:50,8a4bd9f14d
k0iaukqqgo8gurosunbhk0ievkopu4w0,As an individual,,We organise and host Carpentries workshops.,We contribute as instructors/helpers to workshops.,,We coordinate a local Carpentries community.,,,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,Information and data analytics,,,,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,Introduction to Data for Archivists,OpenRefine,,R,,Spreadsheets/tidy data,SQL,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Daily,6,3,4,5,6,5,2,3,"Information governance and extending the domain specificity (away from 'library') towards collections management (records, museums and archives).",Stronger confidence in learning new technical skills,Encouraging skills development of staff,Decision-making on technical solutions in libraries,,Improved relationships with academic or technical partners,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,I have promoted membership to the head of my institution,I have organised workshops or sessions,,,Archivists' Toolkit /  Society American Archivists,Adopt consistent global standards (ISO) and collect and publish data on course adoption and use (in the US and elsewhere),"Involvement corresponds with DDAT (digital, data and technology) skills competency \ Awareness. You know about the skill and have an appreciation of how it is applied in the environment.
Working. You can apply your knowledge and experience of the skill, including tools and techniques. You can adopt those most appropriate for the environment.
Practitioner. You know how to share your knowledge and experience of this skill with others, including tools and techniques. You can define those most appropriate for the environment.
Expert. You have both knowledge and experience in the application of this skill. You are a recognised specialist and adviser in this skill including user needs, generation of ideas, methods and tools. You can lead or guide others in best-practice use.",University,,at least 2000 but fewer than 5000,,at least 1000 but fewer than 5000,at least 10 but fewer than 50,,2021-08-11 19:29:15,2021-08-11 19:37:43,d7fa62945f
niofpk38fmz9yt6sy0heniofpt8ic21t,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,"Scholarly communication, publishing services, open access",,,,,,,,,Library Carpentry,Data Carpentry,Software Carpentry,,,,0-6 months ago,Git,,OpenRefine,,,Regular Expressions,Spreadsheets/tidy data,,,,,,,My own work area(s),I have suggested tools to others and explained how they work,,Monthly,6,6,4,1,6,2,1,2,,,,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,Contributed as an instructor/helper to a Carpentry workshop,,,,I have joined The Carpentries community as an instructor,,,,I contributed to Carpentries workshops as a helper,,,,,University,,at least 500 but fewer than 2000,,at least 10000 but fewer than 20000,at least 100 but fewer than 250,,2021-08-09 17:01:12,2021-08-09 17:06:13,e9861df02c
sw0nvw9w7eyavyx9sw0n3cjta40z9cfn,As an individual,,,,,,,We are not involved as a library but I am personally.,,Teaching and Learning,,"Scholarly communication, publishing services, open access",,,,,,Reference and user services,,,Library Carpentry,,,,,,7-12 months ago,,,OpenRefine,,,,,,,,,,,,I have suggested tools to others and explained how they work,,Less than once a year,3,3,2,3,3,0,3,0,,,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,,,,,,,,,,,,,"PowerBI
SPARQL",,,Special library,,at least 10000,,at least 1000 but fewer than 5000,less than 10,,2021-07-29 07:10:45,2021-07-29 07:17:28,59a9ff2097
fd9n6zgdviyofwv18fd9n6zzm47gefmi,As an individual,,,,,,,,,,,,Digital library management,,,,"Metadata and data conversion, cataloging",,"Library IT, digital library services",,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This survey is not very good for people who have never heard of The Carpentries, I am intersted in finding out more.",Public library,,Fewer than 200,,Not applicable,at least 10 but fewer than 50,,2021-07-28 03:39:03,2021-07-28 03:47:40,1ff6d058cd
lcs68nivdu571ofw9siulcs68n2y4px1,As an individual,,,,,,"We are not involved yet, but would like to learn more.",,,,Collections management and acquisitions,,,,,,,,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,Less than once a year,0,0,0,0,0,0,0,0,NA - flaw in your survey i haven't attended any so these questions are irrelevant.,,,,,,,,,,,,,,,,,,,,unsure,unsure,unsure,,,at least 10000,,at least 20000,at least 250 but fewer than 500,NA,2021-07-28 03:32:53,2021-07-28 03:38:41,3e60a8f8d7
fuqbe1rscxbwcufuqb57ehu65fk6qjox,,,,,,,"We are not involved yet, but would like to learn more.",,,,,,,Information and data analytics,,,"Metadata and data conversion, cataloging",,"Library IT, digital library services",,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at least 2000 but fewer than 5000,,at least 10000 but fewer than 20000,at least 50 but fewer than 100,,2021-07-28 02:25:04,2021-07-28 02:29:07,6ac7c1a248
h70zgup3lknbayesqheh70zgupjoh8ep,As an individual,,,,,,,,,Teaching and Learning,,,,,,,"Metadata and data conversion, cataloging",,,,,,,,No,,Have not attended a Carpentries Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-28 00:32:44,2021-07-28 00:35:13,dbcc47fadf
vz41w7ywuvil4rfjovz41w7y12mzm9ri,,,,,,,,We are not involved as a library but I am personally.,,,,,,,,,"Metadata and data conversion, cataloging",,,,Library Carpentry,,,,,,More than 1 year ago,,,OpenRefine,,,,,,,,,,In a new work area or project,My own work area(s),I have suggested tools to others and explained how they work,,Several times per year,3,0,0,0,2,0,0,0,Using OpenRefine to tidy data,,,Decision-making on technical solutions in libraries,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,,,,,I recommended the workshops to other colleagues and friends,,,,,MarcEdit PLEASE omg it has such a steep and impenetrable learning curve. Turning workflows into scripts I saw mentioned earlier in this survey but promoting that to (meta)data librarians would be a big winner,,,University,,at least 500 but fewer than 2000,,at least 1000 but fewer than 5000,at least 100 but fewer than 250,,2021-07-27 07:45:04,2021-07-27 07:49:44,65f779cb47
pkjhacckbafazpkjhqwjtmml3lgaoaax,As an individual,,,,,,,We are not involved as a library but I am personally.,,,,,,,,,,,"Library IT, digital library services",,Library Carpentry,Data Carpentry,,,,,7-12 months ago,,,,Python,,,,,Unix Shell,,,,In a new work area or project,,,,Several times per year,4,0,0,0,2,4,2,1,Develop new training and improve existing training,Stronger confidence in learning new technical skills,Encouraging skills development of staff,,,,Rethinking current approaches for data processing and management in my unit/department,,Used Carpentry self-guided material,Used non-Carpentry self-guided material,,Participated in a short course or workshop (up to 4 days),,,I have joined The Carpentries community as an instructor,I recommended the workshops to other colleagues and friends,,I have organised workshops or sessions,,,,,,University,,at least 500 but fewer than 2000,,at least 20000,at least 100 but fewer than 250,,2021-07-26 15:18:06,2021-07-26 16:09:09,fe6bdeff34
